Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
feature-selection,48179,1,0,1,97,136,135,260,0,115,377,7,162,18,47,0,182,493,11,152,5.61,0,0,0
tools,47933,0,0,0,26,62,65,113,1,34,196,12,81,5,21,1,75,376,6,89,7.28,1,0,0
visualization,46201,2,0,2,101,125,154,258,0,120,360,22,187,19,57,1,185,472,11,174,9.93,0,0,0
pandas,46058,0,0,0,58,86,69,148,0,81,155,6,74,12,45,1,112,192,4,96,3.0,0,0,0
random-forest,42261,1,0,1,77,93,116,200,0,110,259,2,159,19,42,4,135,322,8,107,7.75,0,0,0
correlation,40993,0,0,0,53,65,82,138,0,57,134,3,73,10,25,0,76,130,3,82,11.5,0,0,0
convnet,39846,0,0,0,46,57,57,113,0,64,205,1,57,14,26,1,78,217,2,98,11.59,0,0,0
octave,39812,0,0,0,5,11,21,26,0,6,65,1,18,1,2,0,13,75,5,22,1.12,0,0,0
recommendation,39336,0,0,0,65,75,83,152,0,78,263,3,91,12,25,0,109,261,3,97,13.25,0,0,0
decision-trees,38431,2,0,2,74,81,84,177,1,85,148,6,94,18,37,1,107,200,5,77,6.92,1,3,1
svm,38187,0,0,0,70,78,107,176,0,91,318,3,121,13,41,0,118,355,6,135,7.34,0,0,0
sklearn,37774,0,0,0,90,89,104,188,0,103,174,14,120,13,40,0,123,189,1,126,6.82,0,0,0
beginner,36275,2,0,2,66,98,118,211,0,73,250,15,130,6,31,0,144,445,13,179,4.69,0,0,0
logistic-regression,35948,0,0,0,77,79,87,168,0,92,224,5,103,17,33,0,114,289,10,106,3.72,0,0,0
tensorflow,35177,0,0,0,62,62,51,124,0,81,160,1,79,21,27,2,79,117,4,51,28.46,0,0,0
pyspark,34618,0,0,0,23,32,25,58,0,26,63,1,20,3,8,0,40,84,0,25,16.83,0,0,0
time-series,32999,3,7,10,132,134,147,287,0,155,357,11,224,38,51,0,180,318,7,193,13.47,0,0,0
probability,32150,1,0,1,47,72,95,164,0,51,167,11,93,7,20,0,98,325,16,127,3.52,0,0,0
programming,31320,0,0,0,12,29,30,55,0,12,50,8,27,1,7,0,32,96,0,26,4.77,0,0,0
feature-extraction,30134,0,0,0,55,70,89,153,0,64,183,2,108,9,23,0,90,214,7,98,10.2,0,0,0
regression,29857,1,0,1,121,110,153,264,0,145,306,7,284,30,52,1,175,314,7,190,9.22,0,0,0
dimensionality-reduction,27622,0,0,0,43,69,71,131,0,50,193,4,82,9,16,0,83,264,4,84,11.56,0,0,0
open-source,26552,0,0,0,10,48,28,67,0,10,138,2,20,0,4,0,53,407,1,23,8.36,0,0,0
data-cleaning,26545,0,0,0,96,127,136,247,0,112,280,12,171,12,54,0,166,357,7,157,5.98,0,0,0
xgboost,25553,0,0,0,42,46,54,91,0,53,122,5,59,6,24,0,60,127,2,55,9.52,0,0,0
efficiency,24622,0,0,0,15,44,41,72,0,21,189,7,48,1,15,0,54,358,4,50,3.29,0,0,0
databases,24240,0,0,0,33,48,63,108,0,35,143,9,80,6,18,0,57,180,1,50,7.43,0,0,0
optimization,23735,0,0,0,56,47,58,117,0,63,163,4,86,21,26,0,64,177,2,49,12.83,0,0,0
topic-model,23614,0,0,0,27,32,31,67,0,29,112,1,33,6,7,0,38,132,1,23,8.03,0,0,0
cross-validation,23496,0,0,0,47,61,69,119,0,52,116,1,61,3,26,1,80,139,6,97,4.75,0,0,0
graphs,22880,1,0,1,48,45,58,108,0,54,160,5,65,7,20,1,65,163,0,47,13.46,0,0,0
distributed,21883,0,0,0,15,31,27,55,0,21,96,1,20,2,11,0,39,158,0,44,5.94,0,0,0
anomaly-detection,21504,0,0,0,23,40,39,75,0,28,84,0,41,6,5,0,43,91,2,38,9.6,0,0,0
data,21426,1,4,5,87,124,130,249,2,89,239,15,174,22,27,0,151,518,9,105,6.85,2,1,0
social-network-analysis,21361,0,0,0,36,49,57,101,0,39,110,2,59,4,15,0,61,104,2,57,8.8,0,0,0
crawling,21278,0,0,0,8,26,16,40,0,8,34,4,16,2,2,0,27,56,2,11,2.41,0,0,0
similarity,19841,0,0,0,47,62,69,132,0,51,165,4,84,7,16,0,76,188,2,69,8.25,0,0,0
rstudio,19714,0,0,0,5,12,7,19,0,5,16,2,3,0,1,0,12,33,0,8,7.5,0,0,0
lda,19295,0,0,0,20,21,24,47,0,22,75,0,18,7,6,0,23,77,0,23,27.16,0,0,0
hyperparameter,18826,0,0,0,14,21,18,41,0,14,87,0,25,3,5,0,21,83,0,5,105.41,0,0,0
scraping,18020,0,0,0,14,25,18,42,0,16,49,2,14,3,7,0,28,62,2,14,2.87,0,0,0
gradient-descent,17821,0,0,0,34,31,51,78,0,41,92,3,69,9,18,0,41,94,5,59,7.33,0,0,0
reference-request,17634,0,0,0,21,35,44,80,0,26,119,4,49,6,8,0,47,207,7,55,6.06,0,0,0
education,17461,0,0,0,19,34,40,73,0,24,113,11,38,2,12,0,50,226,3,50,2.23,0,0,0
keras,17204,0,0,0,35,29,34,64,0,54,81,3,64,15,22,1,49,78,4,78,9.55,0,0,0
image-classification,16531,0,0,0,46,37,57,98,1,56,130,1,71,19,17,0,55,102,5,48,8.16,1,1,0
performance,16376,0,0,0,44,67,75,138,0,52,187,9,73,5,27,3,82,294,5,67,12.0,0,0,0
scala,15885,0,0,0,18,27,27,50,0,21,47,0,25,3,11,0,31,63,0,29,13.37,0,0,0
linear-regression,15627,3,0,3,65,67,93,164,0,79,164,6,154,20,29,0,89,163,2,80,6.09,0,0,0
parameter,14660,0,0,0,13,23,16,44,0,14,63,0,22,0,7,1,25,72,0,6,3.37,0,0,0
word-embeddings,14653,0,0,0,26,27,38,61,0,33,94,0,29,7,14,0,46,65,1,43,18.25,0,0,0
knowledge-base,14543,0,0,0,16,26,30,58,0,16,78,13,37,3,5,0,34,122,0,17,8.78,0,0,0
clusters,14484,0,0,0,12,17,19,39,0,16,59,1,9,4,4,0,22,81,4,26,2.81,0,0,0
accuracy,12552,1,0,1,20,28,40,62,0,28,106,0,57,5,12,0,38,103,2,55,9.69,0,0,0
c,12325,0,0,0,3,11,13,25,0,3,25,1,14,1,1,0,12,58,0,13,5.92,0,0,0
ipython,12306,0,0,0,9,15,18,33,0,9,25,1,17,2,5,0,15,31,0,7,52.06,0,0,0
javascript,11484,7,0,7,22,27,18,46,0,43,102,2,7,7,29,22,47,128,5,23,4.85,0,0,0
unbalanced-classes,11156,0,0,0,24,46,43,85,0,32,104,0,37,2,13,0,61,134,2,41,7.49,0,0,0
theano,10902,0,0,0,22,19,29,50,0,28,54,2,46,10,6,0,25,32,0,23,4.08,0,0,0
rnn,10550,0,0,0,30,25,36,61,0,34,77,1,32,11,9,0,28,47,1,35,18.74,0,0,0
nosql,10370,0,0,0,14,16,27,42,0,15,84,6,25,1,10,0,24,138,4,24,10.31,0,0,0
scalability,9240,0,0,0,13,37,40,69,0,18,141,5,40,3,9,0,42,248,4,50,15.48,0,0,0
preprocessing,9230,0,0,0,33,38,43,83,0,35,69,5,49,5,18,0,47,77,2,41,4.69,0,0,0
binary,8948,0,0,0,13,20,17,34,0,14,66,1,27,3,7,0,24,93,0,16,3.06,0,0,0
map-reduce,8664,0,0,0,18,26,29,54,0,21,69,5,15,4,9,0,35,106,0,36,8.46,0,0,0
information-retrieval,8487,0,0,0,28,49,42,85,0,33,95,2,51,3,7,0,52,94,4,45,22.5,0,0,0
version-control,8080,0,0,0,2,14,11,19,0,4,50,2,21,0,2,0,15,103,0,11,6.69,0,0,0
mongodb,7943,0,0,0,8,15,19,33,0,8,38,2,27,1,3,0,16,49,2,24,11.94,0,0,0
word2vec,7775,0,0,0,26,28,38,62,0,35,77,1,40,7,11,0,48,59,0,44,18.25,0,0,0
java,7490,0,0,0,27,29,30,62,1,33,40,7,25,10,9,1,32,28,1,26,11.36,1,0,2
feature-engineering,7319,0,0,0,32,35,45,80,0,36,59,6,74,8,15,0,42,101,0,38,7.75,0,0,0
multiclass-classification,7315,0,0,0,36,41,44,83,0,42,65,1,50,7,12,0,54,54,1,33,10.29,0,0,0
reinforcement-learning,7258,0,0,0,23,25,32,53,0,31,107,1,36,4,14,0,45,117,3,63,12.32,0,0,0
gbm,7248,0,0,0,13,17,17,33,0,18,55,1,25,3,6,0,19,43,1,17,19.84,0,0,0
anaconda,7193,0,0,0,3,5,6,8,0,3,4,0,3,0,1,0,5,7,0,8,46.88,0,0,0
parallel,7057,0,0,0,13,15,20,37,0,14,47,0,20,2,6,0,18,66,0,18,5.59,0,0,0
kaggle,6844,0,0,0,10,13,20,32,0,12,29,2,14,2,5,0,14,31,1,17,2.71,0,0,0
pgm,6523,0,0,0,1,9,7,12,0,3,37,0,5,1,1,0,10,74,6,10,12.83,0,0,0
csv,6349,0,0,0,15,29,29,51,0,16,27,2,23,1,8,1,32,40,0,33,6.96,0,0,0
image-recognition,6136,0,0,0,23,19,29,53,0,24,49,0,48,7,7,0,24,45,1,24,16.01,0,0,0
definitions,6127,0,0,0,15,27,31,59,0,15,94,6,18,0,10,0,38,254,1,24,6.15,0,0,0
