Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
so-for-teams,178007,6,0,6,151,164,175,227,59,2203,5798,14,1429,149,1721,309,2609,7732,42,2457,1.18,244,1042,185
so-for-teams-enterprise,176657,5,0,5,128,130,153,193,36,2277,5888,14,1443,174,1755,290,2670,8058,36,2763,1.54,144,533,70
so-for-teams-business,73589,1,0,1,86,105,115,151,27,981,2445,6,633,73,764,97,1156,3215,17,1126,1.2,60,258,50
sales-engineering,37878,19,22,22,53,91,93,130,14,605,1476,2,308,65,427,72,704,1970,14,551,1.16,38,202,24
talent,36164,2,0,2,35,45,52,73,9,755,1432,5,368,60,552,176,806,1779,9,593,1.66,47,48,13
core-q-and-a,28508,0,0,0,45,46,70,84,8,384,1049,2,301,21,285,100,450,1338,3,439,3.19,15,134,17
community,27284,10,0,10,57,54,61,85,5,321,947,2,328,28,223,116,416,1252,5,369,6.26,10,11,6
product-support,25393,1,0,1,63,73,89,117,8,459,717,9,222,31,374,116,480,1045,4,346,1.74,28,62,14
sales-process,23429,0,0,0,44,51,55,92,8,279,575,0,100,18,218,95,325,792,6,193,0.62,15,77,12
data-team-request,22193,0,0,0,34,26,46,62,0,284,706,2,434,18,165,5,298,712,4,356,165.06,0,0,0
customer-success,20963,0,0,0,57,82,80,119,10,302,727,1,156,24,206,40,373,1080,4,254,1.07,21,137,23
it-service-desk,18021,1,0,1,37,43,45,76,3,191,422,2,38,6,158,84,208,610,6,99,0.7,25,64,11
public-platform,17745,0,0,0,58,56,63,92,8,283,597,1,233,23,202,82,322,867,4,303,2.19,37,76,6
product-marketing,15916,9,0,9,40,54,54,85,3,181,473,6,116,30,105,26,213,618,3,149,2.01,33,76,31
sales,15432,0,0,0,47,61,68,105,5,231,497,0,92,22,152,54,290,698,4,217,0.76,9,28,4
community-management-team-docs,15227,7,0,7,17,22,19,28,3,191,476,1,168,7,149,111,226,521,1,163,20.72,9,13,4
teams-api,14173,2,0,2,48,42,63,78,7,202,453,0,125,19,142,12,226,581,1,231,2.86,11,67,9
development,13143,0,0,0,28,41,34,62,11,156,413,0,59,9,125,60,195,525,1,120,2.21,20,87,8
marketing,12991,0,0,0,52,38,56,89,5,180,448,3,80,11,132,47,235,623,5,159,0.68,18,51,20
teams-sales,12719,0,0,0,41,46,50,81,8,167,322,0,79,19,115,23,188,435,2,98,1.07,27,92,51
product,12480,1,0,1,38,81,76,117,6,128,379,2,94,10,81,9,258,603,6,323,2.08,8,72,13
so-advertising,12407,0,0,0,26,25,30,46,6,196,294,0,74,17,105,67,207,383,1,139,3.71,11,16,2
people-team,12287,3,0,3,40,48,44,82,8,161,444,0,53,10,129,50,178,526,5,89,0.98,14,51,8
salesforce,11427,0,0,0,38,33,41,68,5,175,305,0,50,13,132,70,187,393,2,103,1.21,10,29,0
customer-success-teams,10520,6,0,6,33,56,53,77,6,156,430,1,74,5,125,14,198,582,8,129,1.63,15,88,8
employee,10369,0,0,0,36,52,40,79,3,89,352,0,47,3,66,29,135,522,7,111,2.35,4,30,2
sre,10344,0,0,0,27,35,48,66,8,148,255,0,102,14,107,26,169,388,4,183,1.63,33,40,10
proof-of-value,9938,0,22,22,29,33,36,57,6,103,254,0,48,7,73,12,128,361,5,119,0.76,10,73,12
teams-features,9864,0,0,0,36,41,51,77,7,132,364,0,106,12,97,7,145,428,1,171,1.97,26,89,49
adoption,9794,0,45,45,24,42,43,60,6,99,477,1,65,4,65,12,142,590,2,104,2.73,14,66,4
security,9371,0,0,0,45,44,58,80,4,144,343,1,81,10,92,24,163,448,2,181,3.07,4,15,0
moderators,8944,0,0,0,37,36,41,60,4,118,307,0,109,10,87,30,135,354,0,142,3.97,5,6,1
tags,8877,0,0,0,60,47,62,87,3,159,432,0,123,12,125,14,182,570,1,265,1.02,4,6,2
billing,8661,2,0,2,36,30,31,58,3,137,260,0,42,11,112,35,142,317,1,110,1.83,3,16,2
so-for-enterprise-on-premises,8611,0,0,0,43,43,53,76,6,116,245,3,88,9,101,19,130,354,1,128,2.11,7,23,1
integrations,8488,0,0,0,35,34,42,66,6,130,274,0,74,14,99,10,143,349,2,137,3.13,7,31,13
slack-integration,8445,1,0,1,51,44,51,74,7,146,334,0,77,14,115,21,151,404,0,120,1.64,10,39,11
competitor,8359,1,0,1,29,34,34,56,5,72,259,0,71,4,52,9,123,462,1,73,3.55,31,101,11
onboarding,8253,0,0,0,22,40,26,64,10,72,211,0,33,3,54,20,96,300,2,66,0.43,19,61,7
dev-environment,8108,0,0,0,25,25,26,42,4,79,273,0,41,6,59,24,101,340,2,92,0.82,5,34,6
legal,7827,0,6,6,44,41,48,81,2,153,251,0,72,7,106,15,199,284,3,115,1.55,2,4,0
design,7731,2,0,2,25,40,38,67,9,88,252,0,59,8,68,18,127,445,5,115,1.34,22,75,13
se-onboarding,7621,3,4,6,8,16,11,24,6,23,64,0,8,0,19,8,28,79,2,14,1.24,17,75,1
sre-cloud,7463,0,0,0,16,18,29,38,6,58,115,0,17,2,49,13,66,190,4,81,5.02,47,66,12
email,7437,0,0,0,46,44,51,84,4,106,284,0,93,9,84,24,118,348,0,119,2.52,5,28,7
testing,7423,3,0,3,21,34,29,48,11,53,141,0,19,3,45,30,85,201,0,74,1.05,17,66,5
site-settings,7213,0,0,0,30,27,36,50,1,105,237,0,75,9,80,19,124,325,1,114,2.39,1,7,1
search,7209,2,0,2,39,33,46,67,5,91,259,0,55,9,71,6,101,346,1,148,1.61,6,43,13
stack-exchange,7179,0,0,0,28,50,46,71,1,91,205,0,83,3,66,30,192,332,6,213,3.08,1,6,1
sso,6998,4,0,4,32,29,38,56,4,103,204,0,39,4,86,24,121,361,3,119,0.86,5,5,2
blueshift,6592,3,0,3,22,19,31,45,9,59,162,0,14,1,52,29,61,199,1,50,0.8,30,100,11
