Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
onboarding,27,1,0,1,2,2,1,4,0,2,8,0,1,0,1,0,2,1,9,0,0,0.02,0,0,0
sales-engineering,26,5,0,5,2,2,0,3,0,3,2,0,0,0,1,1,3,3,2,0,0,70.84,0,0,0
npm,18,0,0,0,1,1,1,3,0,1,7,0,1,0,1,0,1,0,8,0,0,0.02,0,0,0
experience,18,0,0,0,1,1,1,3,0,1,7,0,1,0,1,0,1,0,8,0,0,0.02,0,0,0
api,15,0,0,0,2,1,0,3,0,2,2,0,0,1,0,0,1,0,0,0,0,0.0,0,0,0
azure,12,0,0,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0.03,1,0,0
postman,8,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
post,8,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
teams-api,7,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0
impersonation,7,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0
stack-overflow-for-teams,4,0,0,0,1,0,1,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
meta,3,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0
git,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge-article,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how-to-guide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
announcement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
