Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
so-for-teams,187978,7,0,7,153,166,177,230,61,2291,6073,14,1474,156,1786,325,2718,8033,43,2546,1.18,255,1100,201
so-for-teams-enterprise,185295,5,0,5,129,134,155,195,36,2366,6139,14,1507,176,1829,310,2779,8390,37,2870,1.54,147,553,74
so-for-teams-business,76413,2,0,2,84,106,114,152,28,1001,2489,6,645,70,781,103,1185,3302,17,1146,1.2,62,269,50
sales-engineering,41946,16,19,19,51,93,96,133,15,658,1588,2,345,64,467,78,775,2141,16,592,1.35,46,221,27
talent,36386,2,0,2,34,44,52,73,9,757,1433,5,369,60,554,178,808,1780,9,594,1.66,47,48,13
core-q-and-a,28789,0,0,0,45,46,70,84,8,383,1053,2,300,21,284,99,449,1342,3,441,3.19,16,134,20
community,28184,10,0,10,58,53,63,85,6,327,960,2,343,28,229,118,423,1269,5,368,6.26,13,13,6
product-support,26416,1,0,1,61,73,86,116,8,465,733,9,224,31,378,116,487,1058,4,345,1.78,29,66,16
sales-process,24134,0,0,0,44,49,54,91,9,281,581,0,100,19,219,95,326,797,6,194,0.62,16,92,12
data-team-request,22314,0,0,0,33,25,45,61,0,284,706,2,434,18,165,5,298,713,4,356,165.06,0,0,0
customer-success,22263,0,0,0,57,84,82,120,10,313,759,1,158,27,211,42,392,1129,5,262,1.07,21,146,23
public-platform,18901,0,0,0,56,56,61,91,7,290,620,1,245,23,208,83,330,891,4,302,1.99,37,77,7
it-service-desk,18327,1,0,1,35,41,44,75,3,191,423,2,38,5,159,84,209,613,6,102,0.74,25,64,11
product-marketing,16611,9,0,9,40,57,52,85,3,186,486,6,117,29,110,26,227,642,4,145,1.8,33,76,31
sales,16068,0,0,0,45,59,67,103,6,234,504,0,93,22,153,55,295,706,5,221,0.79,15,41,6
community-management-team-docs,15879,7,0,7,17,22,19,28,3,195,484,1,175,7,153,113,230,531,1,157,20.72,12,16,4
