Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
teams-sales-enablement,6225,2,0,2,17,29,21,41,5,58,112,0,18,1,46,11,72,168,0,38,0.37,14,40,1
slack,6165,1,0,1,43,48,47,75,6,92,232,0,30,5,72,28,106,326,2,77,1.23,7,26,4
looker,6039,2,0,2,27,32,33,52,5,66,193,0,51,7,50,8,77,238,1,75,0.99,7,41,8
teams-api,5631,2,0,2,28,26,42,53,6,74,167,0,49,7,53,7,86,222,1,86,5.53,7,46,8
internal-tools,5560,0,0,0,17,24,25,44,2,55,175,0,37,3,38,11,67,209,1,39,2.9,2,1,0
microsoft-teams-integration,5536,0,0,0,36,33,36,58,5,82,207,0,40,12,59,12,78,240,0,58,2.21,6,33,8
benefits,5514,2,0,2,21,32,29,50,2,75,205,0,29,3,64,20,92,258,2,47,0.49,2,2,0
metrics-dashboard,5425,0,0,0,33,33,45,65,6,78,231,0,66,10,58,0,85,218,0,61,2.47,6,30,4
data,5389,0,0,0,35,39,40,78,7,99,184,0,65,8,67,22,103,261,5,95,2.73,9,27,3
ux-research,5335,1,0,1,14,25,21,41,6,46,116,0,11,0,41,20,65,271,2,55,0.71,23,86,14
info-sec,5156,1,0,1,31,35,41,67,3,89,160,0,60,5,67,9,105,204,0,95,2.48,3,12,0
new-hire-it-service-desk,5154,0,0,0,3,5,6,8,1,7,27,0,4,0,6,6,10,41,0,2,69.72,2,35,5
stack-overflow,5064,0,0,0,39,42,26,70,3,78,195,0,31,4,59,10,100,280,5,63,1.72,4,14,1
advertising,4951,0,0,0,22,16,18,33,5,76,160,1,31,5,40,20,79,195,1,66,1.51,11,6,0
user-management,4867,0,0,0,33,32,39,59,3,71,171,1,50,7,58,6,81,240,1,83,1.26,3,2,0
